[2026-07-04 22:52:34] INFO - gcn_20260704-225234 - [1/1] Run name: gcn_20260704-225234
[2026-07-04 22:52:34] INFO - gcn_20260704-225234 - [1/1] Model: GCN | requires_graph=True | trainable_params=137,219 | model_config={'name': 'gcn', 'hidden_dim': 256, 'num_layers': 3, 'dropout': 0.1, 'activation': 'leaky_relu'}
[2026-07-04 22:54:40] INFO - gcn_20260704-225234 - Trainer ready: model=GCN (137,219 trainable params), device=cuda, graph_model=True
[2026-07-04 22:54:40] INFO - gcn_20260704-225234 - Starting training: epochs=75, start_epoch=0, optimizer=AdamW, scheduler=plateau
[2026-07-04 23:14:50] INFO - gcn_20260704-225234 - Epoch 29/75 | train_loss=0.22051 val_loss=0.23634 | train_cos=0.8292 val_cos=0.8190 | lr=1.00e-03 | time=41.6s
[2026-07-04 23:15:32] INFO - gcn_20260704-225234 - Epoch 30/75 | train_loss=0.22051 val_loss=0.23622 | train_cos=0.8291 val_cos=0.8192 | lr=1.00e-03 | time=41.6s
[2026-07-04 23:16:13] INFO - gcn_20260704-225234 - Epoch 31/75 | train_loss=0.22009 val_loss=0.23637 | train_cos=0.8295 val_cos=0.8188 | lr=1.00e-03 | time=41.4s
[2026-07-04 23:16:55] INFO - gcn_20260704-225234 - Epoch 32/75 | train_loss=0.22006 val_loss=0.23661 | train_cos=0.8295 val_cos=0.8186 | lr=1.00e-03 | time=41.7s
[2026-07-04 23:17:37] INFO - gcn_20260704-225234 - Epoch 33/75 | train_loss=0.21968 val_loss=0.23575 | train_cos=0.8299 val_cos=0.8193 | lr=1.00e-03 | time=41.7s
[2026-07-04 23:18:19] INFO - gcn_20260704-225234 - Epoch 34/75 | train_loss=0.21969 val_loss=0.23531 | train_cos=0.8299 val_cos=0.8192 | lr=1.00e-03 | time=41.7s
[2026-07-04 23:19:01] INFO - gcn_20260704-225234 - Epoch 35/75 | train_loss=0.21944 val_loss=0.23620 | train_cos=0.8300 val_cos=0.8189 | lr=1.00e-03 | time=41.9s
[2026-07-04 23:19:42] INFO - gcn_20260704-225234 - Epoch 36/75 | train_loss=0.21933 val_loss=0.23567 | train_cos=0.8302 val_cos=0.8192 | lr=1.00e-03 | time=41.8s
[2026-07-04 23:20:24] INFO - gcn_20260704-225234 - Epoch 37/75 | train_loss=0.21922 val_loss=0.23641 | train_cos=0.8302 val_cos=0.8188 | lr=1.00e-03 | time=41.8s
[2026-07-04 23:21:06] INFO - gcn_20260704-225234 - Epoch 38/75 | train_loss=0.21606 val_loss=0.23494 | train_cos=0.8327 val_cos=0.8196 | lr=5.00e-04 | time=42.0s
[2026-07-04 23:21:48] INFO - gcn_20260704-225234 - Epoch 39/75 | train_loss=0.21533 val_loss=0.23376 | train_cos=0.8332 val_cos=0.8203 | lr=5.00e-04 | time=41.7s
[2026-07-04 23:22:30] INFO - gcn_20260704-225234 - Epoch 40/75 | train_loss=0.21495 val_loss=0.23448 | train_cos=0.8336 val_cos=0.8198 | lr=5.00e-04 | time=41.6s
[2026-07-04 23:23:11] INFO - gcn_20260704-225234 - Epoch 41/75 | train_loss=0.21468 val_loss=0.23460 | train_cos=0.8338 val_cos=0.8197 | lr=5.00e-04 | time=41.6s
[2026-07-04 23:23:53] INFO - gcn_20260704-225234 - Epoch 42/75 | train_loss=0.21448 val_loss=0.23478 | train_cos=0.8339 val_cos=0.8196 | lr=5.00e-04 | time=41.6s
[2026-07-04 23:24:35] INFO - gcn_20260704-225234 - Epoch 43/75 | train_loss=0.21393 val_loss=0.23501 | train_cos=0.8344 val_cos=0.8193 | lr=5.00e-04 | time=41.6s
[2026-07-04 23:25:16] INFO - gcn_20260704-225234 - Epoch 44/75 | train_loss=0.21423 val_loss=0.23441 | train_cos=0.8342 val_cos=0.8199 | lr=5.00e-04 | time=41.7s
