[2026-07-04 11:18:24] INFO - mlp_20260704-111824 - [1/1] Run name: mlp_20260704-111824
[2026-07-04 11:18:24] INFO - mlp_20260704-111824 - [1/1] Model: MLP | requires_graph=False | trainable_params=203,011 | model_config={'name': 'mlp', 'hidden_dim': 256, 'num_layers': 4, 'dropout': 0.2, 'activation': 'leaky_relu'}
[2026-07-04 11:18:24] INFO - mlp_20260704-111824 - Trainer ready: model=MLP (203,011 trainable params), device=cpu, graph_model=False
[2026-07-04 11:18:24] INFO - mlp_20260704-111824 - Starting training: epochs=75, start_epoch=0, optimizer=AdamW, scheduler=none
[2026-07-04 11:24:11] INFO - mlp_20260704-111824 - Epoch 29/75 | train_loss=0.20489 val_loss=0.20050 | train_cos=0.8415 val_cos=0.8438 | lr=1.00e-03 | time=11.0s
[2026-07-04 11:24:22] INFO - mlp_20260704-111824 - Epoch 30/75 | train_loss=0.20429 val_loss=0.20300 | train_cos=0.8420 val_cos=0.8418 | lr=1.00e-03 | time=10.9s
[2026-07-04 11:24:35] INFO - mlp_20260704-111824 - Epoch 31/75 | train_loss=0.20434 val_loss=0.20183 | train_cos=0.8420 val_cos=0.8428 | lr=1.00e-03 | time=10.8s
[2026-07-04 11:24:46] INFO - mlp_20260704-111824 - Epoch 32/75 | train_loss=0.20344 val_loss=0.20126 | train_cos=0.8427 val_cos=0.8433 | lr=1.00e-03 | time=10.9s
[2026-07-04 11:24:57] INFO - mlp_20260704-111824 - Epoch 33/75 | train_loss=0.20316 val_loss=0.20196 | train_cos=0.8429 val_cos=0.8426 | lr=1.00e-03 | time=10.8s
[2026-07-04 11:25:11] INFO - mlp_20260704-111824 - Epoch 34/75 | train_loss=0.20373 val_loss=0.20125 | train_cos=0.8425 val_cos=0.8432 | lr=1.00e-03 | time=11.0s
[2026-07-04 11:25:22] INFO - mlp_20260704-111824 - Epoch 35/75 | train_loss=0.20316 val_loss=0.20050 | train_cos=0.8429 val_cos=0.8438 | lr=1.00e-03 | time=11.0s
[2026-07-04 11:25:36] INFO - mlp_20260704-111824 - Epoch 36/75 | train_loss=0.20277 val_loss=0.20086 | train_cos=0.8433 val_cos=0.8435 | lr=1.00e-03 | time=10.9s
[2026-07-04 11:25:47] INFO - mlp_20260704-111824 - Epoch 37/75 | train_loss=0.20241 val_loss=0.20052 | train_cos=0.8435 val_cos=0.8437 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:25:58] INFO - mlp_20260704-111824 - Epoch 38/75 | train_loss=0.20188 val_loss=0.19991 | train_cos=0.8440 val_cos=0.8443 | lr=1.00e-03 | time=10.9s
[2026-07-04 11:26:12] INFO - mlp_20260704-111824 - Epoch 39/75 | train_loss=0.20172 val_loss=0.19944 | train_cos=0.8441 val_cos=0.8446 | lr=1.00e-03 | time=10.9s
[2026-07-04 11:26:23] INFO - mlp_20260704-111824 - Epoch 40/75 | train_loss=0.20131 val_loss=0.19981 | train_cos=0.8444 val_cos=0.8442 | lr=1.00e-03 | time=10.9s
[2026-07-04 11:26:34] INFO - mlp_20260704-111824 - Epoch 41/75 | train_loss=0.20089 val_loss=0.19964 | train_cos=0.8448 val_cos=0.8445 | lr=1.00e-03 | time=11.0s
[2026-07-04 11:26:48] INFO - mlp_20260704-111824 - Epoch 42/75 | train_loss=0.20107 val_loss=0.20062 | train_cos=0.8447 val_cos=0.8437 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:26:58] INFO - mlp_20260704-111824 - Epoch 43/75 | train_loss=0.20091 val_loss=0.19891 | train_cos=0.8448 val_cos=0.8451 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:27:09] INFO - mlp_20260704-111824 - Epoch 44/75 | train_loss=0.19997 val_loss=0.19883 | train_cos=0.8456 val_cos=0.8450 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:27:23] INFO - mlp_20260704-111824 - Epoch 45/75 | train_loss=0.19942 val_loss=0.19902 | train_cos=0.8460 val_cos=0.8450 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:27:34] INFO - mlp_20260704-111824 - Epoch 46/75 | train_loss=0.19961 val_loss=0.19878 | train_cos=0.8459 val_cos=0.8452 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:27:44] INFO - mlp_20260704-111824 - Epoch 47/75 | train_loss=0.19937 val_loss=0.19897 | train_cos=0.8461 val_cos=0.8449 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:27:58] INFO - mlp_20260704-111824 - Epoch 48/75 | train_loss=0.19908 val_loss=0.19755 | train_cos=0.8463 val_cos=0.8461 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:28:09] INFO - mlp_20260704-111824 - Epoch 49/75 | train_loss=0.19886 val_loss=0.19861 | train_cos=0.8465 val_cos=0.8453 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:28:20] INFO - mlp_20260704-111824 - Epoch 50/75 | train_loss=0.19857 val_loss=0.19833 | train_cos=0.8467 val_cos=0.8455 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:28:33] INFO - mlp_20260704-111824 - Epoch 51/75 | train_loss=0.19868 val_loss=0.19822 | train_cos=0.8466 val_cos=0.8455 | lr=1.00e-03 | time=10.7s
[2026-07-04 11:28:44] INFO - mlp_20260704-111824 - Epoch 52/75 | train_loss=0.19831 val_loss=0.19780 | train_cos=0.8469 val_cos=0.8459 | lr=1.00e-03 | time=10.6s
[2026-07-04 11:28:55] INFO - mlp_20260704-111824 - Epoch 53/75 | train_loss=0.19777 val_loss=0.19823 | train_cos=0.8474 val_cos=0.8455 | lr=1.00e-03 | time=10.7s
