[2026-07-05 10:11:38] INFO - gat_20260705-101138 - [1/1] Run name: gat_20260705-101138
[2026-07-05 10:11:38] INFO - gat_20260705-101138 - [1/1] Model: GAT | requires_graph=True | trainable_params=138,755 | model_config={'name': 'gat', 'hidden_dim': 256, 'num_layers': 3, 'dropout': 0.2, 'activation': 'leaky_relu', 'heads': 2}
[2026-07-05 10:13:37] INFO - gat_20260705-101138 - Trainer ready: model=GAT (138,755 trainable params), device=cuda, graph_model=True
[2026-07-05 10:13:37] INFO - gat_20260705-101138 - Starting training: epochs=75, start_epoch=0, optimizer=AdamW, scheduler=plateau
[2026-07-05 10:41:29] INFO - gat_20260705-101138 - Epoch 30/75 | train_loss=0.22052 val_loss=0.22991 | train_cos=0.8292 val_cos=0.8213 | lr=1.00e-03 | time=55.4s
[2026-07-05 10:42:24] INFO - gat_20260705-101138 - Epoch 31/75 | train_loss=0.22064 val_loss=0.23082 | train_cos=0.8291 val_cos=0.8206 | lr=1.00e-03 | time=55.2s
[2026-07-05 10:43:20] INFO - gat_20260705-101138 - Epoch 32/75 | train_loss=0.22037 val_loss=0.23047 | train_cos=0.8293 val_cos=0.8210 | lr=1.00e-03 | time=55.5s
[2026-07-05 10:44:15] INFO - gat_20260705-101138 - Epoch 33/75 | train_loss=0.22009 val_loss=0.23008 | train_cos=0.8295 val_cos=0.8210 | lr=1.00e-03 | time=55.5s
[2026-07-05 10:45:11] INFO - gat_20260705-101138 - Epoch 34/75 | train_loss=0.21995 val_loss=0.23147 | train_cos=0.8297 val_cos=0.8201 | lr=1.00e-03 | time=55.9s
[2026-07-05 10:46:07] INFO - gat_20260705-101138 - Epoch 35/75 | train_loss=0.21975 val_loss=0.23033 | train_cos=0.8298 val_cos=0.8208 | lr=1.00e-03 | time=55.4s
[2026-07-05 10:47:02] INFO - gat_20260705-101138 - Epoch 36/75 | train_loss=0.21928 val_loss=0.23020 | train_cos=0.8302 val_cos=0.8211 | lr=1.00e-03 | time=55.7s
[2026-07-05 10:47:58] INFO - gat_20260705-101138 - Epoch 37/75 | train_loss=0.21934 val_loss=0.22968 | train_cos=0.8301 val_cos=0.8215 | lr=1.00e-03 | time=55.4s
[2026-07-05 10:48:53] INFO - gat_20260705-101138 - Epoch 38/75 | train_loss=0.21902 val_loss=0.22881 | train_cos=0.8304 val_cos=0.8221 | lr=1.00e-03 | time=55.4s
[2026-07-05 10:49:49] INFO - gat_20260705-101138 - Epoch 39/75 | train_loss=0.21603 val_loss=0.22886 | train_cos=0.8327 val_cos=0.8219 | lr=5.00e-04 | time=55.4s
[2026-07-05 10:50:44] INFO - gat_20260705-101138 - Epoch 40/75 | train_loss=0.21587 val_loss=0.22867 | train_cos=0.8328 val_cos=0.8221 | lr=5.00e-04 | time=55.5s
[2026-07-05 10:51:40] INFO - gat_20260705-101138 - Epoch 41/75 | train_loss=0.21574 val_loss=0.22811 | train_cos=0.8329 val_cos=0.8225 | lr=5.00e-04 | time=55.5s
[2026-07-05 10:52:35] INFO - gat_20260705-101138 - Epoch 42/75 | train_loss=0.21527 val_loss=0.22878 | train_cos=0.8333 val_cos=0.8220 | lr=5.00e-04 | time=55.2s
[2026-07-05 10:53:30] INFO - gat_20260705-101138 - Epoch 43/75 | train_loss=0.21522 val_loss=0.22902 | train_cos=0.8333 val_cos=0.8219 | lr=5.00e-04 | time=55.3s
[2026-07-05 10:54:26] INFO - gat_20260705-101138 - Epoch 44/75 | train_loss=0.21507 val_loss=0.22826 | train_cos=0.8335 val_cos=0.8224 | lr=5.00e-04 | time=55.5s
[2026-07-05 10:55:21] INFO - gat_20260705-101138 - Epoch 45/75 | train_loss=0.21481 val_loss=0.22826 | train_cos=0.8337 val_cos=0.8224 | lr=5.00e-04 | time=55.4s
[2026-07-05 10:56:17] INFO - gat_20260705-101138 - Epoch 46/75 | train_loss=0.21481 val_loss=0.22912 | train_cos=0.8337 val_cos=0.8219 | lr=5.00e-04 | time=55.4s
[2026-07-05 10:57:12] INFO - gat_20260705-101138 - Epoch 47/75 | train_loss=0.21427 val_loss=0.22858 | train_cos=0.8342 val_cos=0.8223 | lr=5.00e-04 | time=55.8s
[2026-07-05 10:58:08] INFO - gat_20260705-101138 - Epoch 48/75 | train_loss=0.21433 val_loss=0.22848 | train_cos=0.8341 val_cos=0.8223 | lr=5.00e-04 | time=55.8s
[2026-07-05 10:59:04] INFO - gat_20260705-101138 - Epoch 49/75 | train_loss=0.21467 val_loss=0.22874 | train_cos=0.8338 val_cos=0.8221 | lr=5.00e-04 | time=55.7s
[2026-07-05 10:59:59] INFO - gat_20260705-101138 - Epoch 50/75 | train_loss=0.21416 val_loss=0.22884 | train_cos=0.8343 val_cos=0.8221 | lr=5.00e-04 | time=55.4s
[2026-07-05 11:00:55] INFO - gat_20260705-101138 - Epoch 51/75 | train_loss=0.21249 val_loss=0.22815 | train_cos=0.8356 val_cos=0.8225 | lr=2.50e-04 | time=55.6s
[2026-07-05 11:01:51] INFO - gat_20260705-101138 - Epoch 52/75 | train_loss=0.21208 val_loss=0.22818 | train_cos=0.8360 val_cos=0.8224 | lr=2.50e-04 | time=55.5s
[2026-07-05 11:02:46] INFO - gat_20260705-101138 - Epoch 53/75 | train_loss=0.21221 val_loss=0.22827 | train_cos=0.8359 val_cos=0.8225 | lr=2.50e-04 | time=55.4s
[2026-07-05 11:03:42] INFO - gat_20260705-101138 - Epoch 54/75 | train_loss=0.21206 val_loss=0.22813 | train_cos=0.8360 val_cos=0.8225 | lr=2.50e-04 | time=55.5s
[2026-07-05 11:04:37] INFO - gat_20260705-101138 - Epoch 55/75 | train_loss=0.21185 val_loss=0.22849 | train_cos=0.8361 val_cos=0.8222 | lr=2.50e-04 | time=55.7s
[2026-07-05 11:05:33] INFO - gat_20260705-101138 - Epoch 56/75 | train_loss=0.21177 val_loss=0.22817 | train_cos=0.8363 val_cos=0.8224 | lr=2.50e-04 | time=55.5s
[2026-07-05 11:06:28] INFO - gat_20260705-101138 - Epoch 57/75 | train_loss=0.21183 val_loss=0.22826 | train_cos=0.8362 val_cos=0.8224 | lr=2.50e-04 | time=55.4s
[2026-07-05 11:07:24] INFO - gat_20260705-101138 - Epoch 58/75 | train_loss=0.21161 val_loss=0.22837 | train_cos=0.8364 val_cos=0.8222 | lr=2.50e-04 | time=55.3s
[2026-07-05 11:08:19] INFO - gat_20260705-101138 - Epoch 59/75 | train_loss=0.21166 val_loss=0.22839 | train_cos=0.8363 val_cos=0.8223 | lr=2.50e-04 | time=55.6s
[2026-07-05 11:09:15] INFO - gat_20260705-101138 - Epoch 60/75 | train_loss=0.21081 val_loss=0.22814 | train_cos=0.8370 val_cos=0.8225 | lr=1.25e-04 | time=55.7s
