model,run_name,checkpoint_epoch,mean_angular_error_deg,median_angular_error_deg,std_angular_error_deg,mean_cosine_similarity
mlp,mlp_num_layers4_activationleaky_relu_lr0.001_20260703-213653,29,24.729263305664062,16.628538131713867,22.94582748413086,0.8482245802879333
graphsage,graphsage_20260705-093949,71,24.893800735473633,16.554536819458008,23.304819107055664,0.845698356628418
gat,gat_20260705-101138,61,27.352222442626953,18.91539192199707,24.290311813354492,0.8243263363838196
gcn,gcn_20260704-225234,55,27.683242797851562,19.12746810913086,24.450868606567383,0.821357011795044
