[2026-07-02 00:39:17] INFO - neutrino_reco - Run name: mlp_20260702-003917
[2026-07-02 00:39:17] INFO - neutrino_reco - Base config: config/baseline.yaml | Model config: config/mlp.yaml
[2026-07-02 00:39:17] INFO - neutrino_reco - Resolved config saved to checkpoints/mlp_20260702-003917/config.yaml
[2026-07-02 00:39:17] INFO - neutrino_reco - Using device: cpu
[2026-07-02 00:39:17] INFO - neutrino_reco - Loaded 4588 events from aeCC_cleaned.h5
[2026-07-02 00:39:17] INFO - neutrino_reco - Loaded 19513 events from amCC_cleaned.h5
[2026-07-02 00:39:17] INFO - neutrino_reco - Loaded 4381 events from amNC_cleaned.h5
[2026-07-02 00:39:17] INFO - neutrino_reco - Loaded 35920 events from atCC_cleaned.h5
[2026-07-02 00:39:17] INFO - neutrino_reco - Loaded 13033 events from eCC_cleaned.h5
[2026-07-02 00:39:18] INFO - neutrino_reco - Loaded 46331 events from mCC_cleaned.h5
[2026-07-02 00:39:18] INFO - neutrino_reco - Loaded 33445 events from mNC_cleaned.h5
[2026-07-02 00:39:18] INFO - neutrino_reco - Loaded 35814 events from tCC_cleaned.h5
[2026-07-02 00:39:18] INFO - neutrino_reco - NeutrinoDataModule ready: 193025 events total (train=135118, val=28954, test=28953), input_dim=18, output_dim=3
[2026-07-02 00:39:18] INFO - neutrino_reco - Model: MLP | requires_graph=False | trainable_params=203,011
[2026-07-02 00:39:18] INFO - neutrino_reco - Trainer ready: model=MLP (203,011 trainable params), device=cpu, graph_model=False
[2026-07-02 00:39:18] INFO - neutrino_reco - Starting training: epochs=150, start_epoch=0, optimizer=AdamW, scheduler=plateau
[2026-07-02 00:44:35] INFO - neutrino_reco - Epoch 25/150 | train_loss=0.20683 val_loss=0.20583 | train_cos=0.8402 val_cos=0.8397 | lr=1.00e-03 | time=11.3s
[2026-07-02 00:44:50] INFO - neutrino_reco - Epoch 26/150 | train_loss=0.20651 val_loss=0.20399 | train_cos=0.8405 val_cos=0.8412 | lr=1.00e-03 | time=11.3s
[2026-07-02 00:45:01] INFO - neutrino_reco - Epoch 27/150 | train_loss=0.20604 val_loss=0.20446 | train_cos=0.8409 val_cos=0.8408 | lr=1.00e-03 | time=11.3s
[2026-07-02 00:45:12] INFO - neutrino_reco - Epoch 28/150 | train_loss=0.20569 val_loss=0.20287 | train_cos=0.8411 val_cos=0.8422 | lr=1.00e-03 | time=11.4s
[2026-07-02 00:45:27] INFO - neutrino_reco - Epoch 29/150 | train_loss=0.20514 val_loss=0.20204 | train_cos=0.8416 val_cos=0.8428 | lr=1.00e-03 | time=11.4s
[2026-07-02 00:45:38] INFO - neutrino_reco - Epoch 30/150 | train_loss=0.20475 val_loss=0.20238 | train_cos=0.8419 val_cos=0.8424 | lr=1.00e-03 | time=11.3s
[2026-07-02 00:45:50] INFO - neutrino_reco - Epoch 31/150 | train_loss=0.20491 val_loss=0.20309 | train_cos=0.8417 val_cos=0.8418 | lr=1.00e-03 | time=11.4s
[2026-07-02 00:46:01] INFO - neutrino_reco - Epoch 32/150 | train_loss=0.20383 val_loss=0.20163 | train_cos=0.8426 val_cos=0.8430 | lr=1.00e-03 | time=11.4s
[2026-07-02 00:46:17] INFO - neutrino_reco - Epoch 33/150 | train_loss=0.20399 val_loss=0.20188 | train_cos=0.8424 val_cos=0.8428 | lr=1.00e-03 | time=11.4s
[2026-07-02 00:46:28] INFO - neutrino_reco - Epoch 34/150 | train_loss=0.20381 val_loss=0.20161 | train_cos=0.8426 val_cos=0.8431 | lr=1.00e-03 | time=11.4s
[2026-07-02 00:46:43] INFO - neutrino_reco - Epoch 35/150 | train_loss=0.20351 val_loss=0.20103 | train_cos=0.8428 val_cos=0.8434 | lr=1.00e-03 | time=11.3s
[2026-07-02 00:46:54] INFO - neutrino_reco - Epoch 36/150 | train_loss=0.20315 val_loss=0.20038 | train_cos=0.8431 val_cos=0.8440 | lr=1.00e-03 | time=11.4s
[2026-07-02 00:47:05] INFO - neutrino_reco - Epoch 37/150 | train_loss=0.20302 val_loss=0.20054 | train_cos=0.8433 val_cos=0.8440 | lr=1.00e-03 | time=11.2s
[2026-07-02 00:47:20] INFO - neutrino_reco - Epoch 38/150 | train_loss=0.20318 val_loss=0.20127 | train_cos=0.8431 val_cos=0.8433 | lr=1.00e-03 | time=11.4s
[2026-07-02 00:47:31] INFO - neutrino_reco - Epoch 39/150 | train_loss=0.20305 val_loss=0.20125 | train_cos=0.8432 val_cos=0.8433 | lr=1.00e-03 | time=11.5s
[2026-07-02 00:47:43] INFO - neutrino_reco - Epoch 40/150 | train_loss=0.20283 val_loss=0.20119 | train_cos=0.8433 val_cos=0.8434 | lr=1.00e-03 | time=11.3s
[2026-07-02 00:47:57] INFO - neutrino_reco - Epoch 41/150 | train_loss=0.20153 val_loss=0.20140 | train_cos=0.8445 val_cos=0.8432 | lr=1.00e-03 | time=11.3s
[2026-07-02 00:48:09] INFO - neutrino_reco - Epoch 42/150 | train_loss=0.20121 val_loss=0.20115 | train_cos=0.8447 val_cos=0.8434 | lr=1.00e-03 | time=11.6s
[2026-07-02 00:48:20] INFO - neutrino_reco - Epoch 43/150 | train_loss=0.20082 val_loss=0.19939 | train_cos=0.8450 val_cos=0.8448 | lr=1.00e-03 | time=11.6s
[2026-07-02 00:48:35] INFO - neutrino_reco - Epoch 44/150 | train_loss=0.20085 val_loss=0.20100 | train_cos=0.8450 val_cos=0.8435 | lr=1.00e-03 | time=11.5s
[2026-07-02 00:48:47] INFO - neutrino_reco - Epoch 45/150 | train_loss=0.20111 val_loss=0.20163 | train_cos=0.8448 val_cos=0.8429 | lr=1.00e-03 | time=11.6s
[2026-07-02 00:48:58] INFO - neutrino_reco - Epoch 46/150 | train_loss=0.20137 val_loss=0.20010 | train_cos=0.8446 val_cos=0.8444 | lr=1.00e-03 | time=11.6s
[2026-07-02 00:49:13] INFO - neutrino_reco - Epoch 47/150 | train_loss=0.20049 val_loss=0.20105 | train_cos=0.8453 val_cos=0.8434 | lr=1.00e-03 | time=11.7s
[2026-07-02 00:49:25] INFO - neutrino_reco - Epoch 48/150 | train_loss=0.20052 val_loss=0.19937 | train_cos=0.8453 val_cos=0.8448 | lr=1.00e-03 | time=11.6s
[2026-07-02 00:49:39] INFO - neutrino_reco - Epoch 49/150 | train_loss=0.20000 val_loss=0.20008 | train_cos=0.8457 val_cos=0.8444 | lr=1.00e-03 | time=11.3s
[2026-07-02 00:49:50] INFO - neutrino_reco - Epoch 50/150 | train_loss=0.20004 val_loss=0.19947 | train_cos=0.8457 val_cos=0.8449 | lr=1.00e-03 | time=11.5s
[2026-07-02 00:50:02] INFO - neutrino_reco - Epoch 51/150 | train_loss=0.20011 val_loss=0.19924 | train_cos=0.8456 val_cos=0.8450 | lr=1.00e-03 | time=11.4s
[2026-07-02 00:50:14] INFO - neutrino_reco - Epoch 52/150 | train_loss=0.20004 val_loss=0.20074 | train_cos=0.8457 val_cos=0.8438 | lr=1.00e-03 | time=11.5s
